,token_id,type,height,segments,spectrum,color_spread,steps_between,color_direction
1681,1681,Normal,3,12,Normal,43,200,Reverse
1682,1682,Slinky,3,16,Normal,45,50,Reverse
1683,1683,Ribbed,3,19,Normal,31,200,Reverse
1684,1684,Normal,3,13,Normal,13,200,Forward
1685,1685,Normal,3,18,Normal,6,200,Forward
1686,1686,Normal,3,15,Normal,17,200,Reverse
1687,1687,Normal,3,16,Normal,20,200,Reverse
1688,1688,Slinky,3,16,Normal,5,50,Reverse
1689,1689,Slinky,3,12,Normal,49,50,Forward
1690,1690,Normal,3,15,Normal,39,200,Reverse
1691,1691,Normal,3,16,Normal,33,200,Reverse
1692,1692,Ribbed,3,15,Normal,36,200,Forward
1693,1693,Normal,3,18,Normal,36,200,Forward
1694,1694,Normal,3,12,Normal,39,200,Forward
1695,1695,Slinky,3,17,Normal,22,50,Forward
1696,1696,Normal,3,16,Normal,24,200,Forward
1697,1697,Normal,3,19,Normal,20,200,Forward
1698,1698,Pipe,3,18,Normal,44,50,Forward
1699,1699,Fuzzy,3,17,Normal,46,1000,Forward
1700,1700,Normal,3,15,Normal,17,200,Forward
1701,1701,Normal,3,12,Normal,11,200,Reverse
1702,1702,Normal,3,15,Normal,22,200,Reverse
1703,1703,Slinky,3,19,Normal,23,50,Reverse
1704,1704,Slinky,3,12,Normal,25,50,Reverse
1705,1705,Normal,3,14,Normal,39,200,Forward
1706,1706,Normal,3,19,Normal,35,200,Reverse
1707,1707,Normal,3,16,Normal,16,200,Reverse
1708,1708,Pipe,3,17,Normal,47,50,Reverse
1709,1709,Normal,3,19,Normal,46,200,Reverse
1710,1710,Slinky,3,15,Normal,41,50,Forward
1711,1711,Slinky,3,12,Normal,29,50,Forward
1712,1712,Normal,3,13,Normal,21,200,Forward
1713,1713,Slinky,3,18,HyperRainbow,0.5,50,Reverse
1714,1714,Normal,3,16,Normal,40,200,Reverse
1715,1715,Fuzzy,3,15,Normal,7,1000,Reverse
1716,1716,Normal,3,12,Normal,37,200,Forward
1717,1717,Normal,3,19,Normal,36,200,Forward
1718,1718,Normal,3,12,Normal,25,200,Reverse
1719,1719,Normal,3,17,Normal,17,200,Forward
1720,1720,Pipe,3,17,Normal,32,50,Forward
1721,1721,Slinky,3,13,Normal,16,50,Forward
1722,1722,Normal,3,16,Normal,38,200,Forward
1723,1723,Normal,3,16,Normal,18,200,Forward
1724,1724,Normal,3,15,Normal,39,200,Forward
1725,1725,Normal,3,18,Normal,10,200,Forward
1726,1726,Fuzzy,3,12,Normal,36,1000,Forward
1727,1727,Normal,3,15,Normal,28,200,Reverse
1728,1728,Normal,3,16,Normal,18,200,Forward
1729,1729,Normal,3,15,Normal,26,200,Forward
1730,1730,Ribbed,3,16,Normal,8,200,Forward
1731,1731,Ribbed,3,13,Normal,40,200,Reverse
1732,1732,Normal,3,15,Normal,28,200,Forward
1733,1733,Bold,3,14,Normal,7,200,Reverse
1734,1734,Normal,3,14,Normal,14,200,Forward
1735,1735,Normal,3,12,Normal,32,200,Reverse
1736,1736,Normal,3,19,Normal,21,200,Forward
1737,1737,Normal,3,18,Normal,24,200,Reverse
1738,1738,Ribbed,3,17,Normal,9,200,Forward
1739,1739,Normal,3,14,Normal,49,200,Forward
1740,1740,Normal,3,16,Normal,39,200,Reverse
1741,1741,Normal,3,15,Normal,39,200,Forward
1742,1742,Normal,3,15,Normal,34,200,Forward
1743,1743,Ribbed,3,14,Normal,27,200,Forward
1744,1744,Normal,3,13,Normal,30,200,Forward
1745,1745,Normal,3,17,Normal,34,200,Reverse
1746,1746,Normal,3,12,Normal,45,200,Reverse
1747,1747,Pipe,3,19,Normal,35,50,Forward
1748,1748,Slinky,3,17,Normal,12,50,Reverse
1749,1749,Normal,3,13,Normal,48,200,Reverse
1750,1750,Pipe,3,16,Normal,35,50,Forward
1751,1751,Normal,3,14,HyperRainbow,0.5,200,Forward
1752,1752,Normal,3,14,Normal,9,200,Forward
1753,1753,Bold,3,17,Normal,33,200,Reverse
1754,1754,Normal,3,15,Normal,44,200,Forward
1755,1755,Normal,3,12,Normal,29,200,Reverse
1756,1756,Normal,3,12,Normal,27,200,Reverse
1757,1757,Bold,3,17,Normal,25,200,Reverse
1758,1758,Normal,3,15,Normal,35,200,Forward
1759,1759,Fuzzy,3,15,Normal,12,1000,Reverse
1760,1760,Bold,3,16,Normal,25,200,Reverse
1761,1761,Fuzzy,3,14,Normal,34,1000,Reverse
1762,1762,Fuzzy,3,15,Normal,26,1000,Reverse
1763,1763,Bold,3,13,Normal,18,200,Reverse
1764,1764,Normal,3,18,Normal,21,200,Reverse
1765,1765,Normal,3,13,Normal,28,200,Forward
1766,1766,Normal,3,17,Normal,46,200,Reverse
1767,1767,Normal,3,14,Normal,39,200,Reverse
1768,1768,Normal,3,16,Normal,45,200,Reverse
1769,1769,Normal,3,13,Normal,28,200,Reverse
1770,1770,Normal,3,19,HyperRainbow,0.5,200,Forward
1771,1771,Normal,3,19,HyperRainbow,0.5,200,Reverse
1772,1772,Normal,3,13,Normal,39,200,Reverse
1773,1773,Normal,3,14,Normal,34,200,Forward
1774,1774,Normal,3,18,Normal,28,200,Reverse
1775,1775,Normal,3,19,Normal,25,200,Reverse
1776,1776,Bold,3,14,Normal,25,200,Reverse
1777,1777,Normal,3,13,Normal,39,200,Reverse
1778,1778,Normal,3,13,Normal,14,200,Forward
1779,1779,Normal,3,14,Normal,50,200,Reverse
